filename,filepath,year,total_words,processed_date,finance_leases,finance_collateral,finance_convertible,finance_leasehold,finance_floating,finance_collateralization,finance_lessors,finance_revaluation,finance_securitizations,finance_securitized,finance_subleases,legal_litigation,legal_covenants,legal_licensing,legal_infringement,legal_lawsuits,legal_covenant,legal_lawsuit,legal_revocation,accounting_carryforwards,accounting_intangibles,accounting_reclassified,accounting_carryforward,accounting_accrues,accounting_bankruptcies,accounting_carryback,accounting_subsidy,hedging_derivative,hedging_derivatives,hedging_hedges,hedging_swaps,hedging_hedged,hedging_counterparties,hedging_counterparty,international_internationalglobal,international_worldwide,international_complex,international_repatriate,international_repatriated,international_repatriation,international_sovereign,org_form_segments,org_form_entities,org_form_affiliates,org_form_restructuring,org_form_ventures,org_form_mergers,org_form_merging,org_form_outsource,org_form_partnering,org_form_restructure,org_form_restructured
20240215_10-K_edgar_data_49071_0000049071-24-000012.txt,data/raw/2024/QTR1/20240215_10-K_edgar_data_49071_0000049071-24-000012.txt,2024,75677,2026-05-12T14:53:28.991282,0,4,0,1,3,0,0,0,0,0,0,15,19,2,0,2,11,0,0,4,5,3,0,0,0,0,4,2,0,0,5,1,0,0,0,0,5,0,0,0,0,37,14,76,3,1,0,0,0,1,1,1
20240215_10-K_edgar_data_49648_0001057877-24-000005.txt,data/raw/2024/QTR1/20240215_10-K_edgar_data_49648_0001057877-24-000005.txt,2024,86880,2026-05-12T14:53:29.028367,4,20,1,0,3,3,0,0,0,0,0,9,16,5,0,8,2,0,1,1,0,1,1,1,0,0,0,19,8,9,10,2,23,14,0,0,12,0,0,0,0,7,11,7,0,3,1,0,0,0,0,0
20240215_10-K_edgar_data_66904_0000092122-24-000009.txt,data/raw/2024/QTR1/20240215_10-K_edgar_data_66904_0000092122-24-000009.txt,2024,147021,2026-05-12T14:53:29.090242,73,38,23,3,12,0,0,0,0,0,0,18,17,11,0,1,0,0,0,16,0,8,3,1,0,0,1,31,89,41,4,3,21,8,0,0,8,0,0,0,1,14,45,65,5,7,0,0,0,0,0,2
20240215_10-K_edgar_data_68505_0000068505-24-000008.txt,data/raw/2024/QTR1/20240215_10-K_edgar_data_68505_0000068505-24-000008.txt,2024,60579,2026-05-12T14:53:29.115800,9,2,26,1,0,0,0,0,0,0,0,20,2,6,2,1,0,0,0,5,1,1,2,1,0,0,2,15,19,8,0,3,4,4,0,5,17,4,2,2,0,12,11,7,1,3,1,0,9,0,0,0
20240215_10-K_edgar_data_719413_0000950170-24-015673.txt,data/raw/2024/QTR1/20240215_10-K_edgar_data_719413_0000950170-24-015673.txt,2024,267883,2026-05-12T14:53:29.247182,64,14,3,2,0,0,0,0,0,0,0,25,11,2,0,7,3,10,1,15,0,5,9,0,0,0,0,26,9,25,4,5,5,2,0,1,46,0,1,2,0,15,9,6,0,1,3,0,0,0,2,0
20240215_10-K_edgar_data_740260_0000740260-24-000067.txt,data/raw/2024/QTR1/20240215_10-K_edgar_data_740260_0000740260-24-000067.txt,2024,91539,2026-05-12T14:53:29.286455,58,23,0,4,13,0,0,2,0,0,0,13,17,7,0,4,2,1,0,10,38,0,0,4,0,0,1,14,4,2,13,3,9,0,0,1,13,0,0,0,2,31,113,13,22,21,3,0,0,0,0,0
20240215_10-K_edgar_data_749251_0000749251-24-000006.txt,data/raw/2024/QTR1/20240215_10-K_edgar_data_749251_0000749251-24-000006.txt,2024,55628,2026-05-12T14:53:29.309133,16,2,1,11,7,0,0,0,0,0,3,9,12,1,0,1,4,0,1,5,5,6,0,1,0,0,0,3,3,2,14,1,2,0,0,6,8,0,0,1,0,13,7,1,1,1,0,0,0,0,0,0
20240215_10-K_edgar_data_766704_0000766704-24-000008.txt,data/raw/2024/QTR1/20240215_10-K_edgar_data_766704_0000766704-24-000008.txt,2024,101052,2026-05-12T14:53:29.352760,93,8,2,15,0,0,0,5,0,0,2,13,22,8,0,6,6,4,2,4,6,2,7,0,1,1,1,13,15,12,12,3,1,0,0,3,7,0,0,1,1,6,107,11,1,14,0,0,0,0,1,1
20240215_10-K_edgar_data_793733_0001558370-24-001237.txt,data/raw/2024/QTR1/20240215_10-K_edgar_data_793733_0001558370-24-001237.txt,2024,47984,2026-05-12T14:53:29.374350,16,3,0,1,0,0,1,0,0,0,0,10,3,0,0,0,0,0,1,0,0,0,1,0,2,0,0,1,1,0,0,0,0,0,0,0,5,0,0,0,0,4,9,4,0,0,0,0,1,0,1,0
20240215_10-K_edgar_data_79879_0000079879-24-000040.txt,data/raw/2024/QTR1/20240215_10-K_edgar_data_79879_0000079879-24-000040.txt,2024,113385,2026-05-12T14:53:29.421776,10,0,0,0,2,0,0,0,0,0,0,18,20,0,0,17,5,3,10,2,3,1,0,0,1,0,0,6,4,12,18,0,1,0,0,2,13,13,1,22,0,21,5,23,24,4,7,0,0,0,0,0
20240215_10-K_edgar_data_84839_0000084839-24-000025.txt,data/raw/2024/QTR1/20240215_10-K_edgar_data_84839_0000084839-24-000025.txt,2024,47730,2026-05-12T14:53:29.442575,14,0,0,0,0,0,0,0,0,0,0,13,7,2,0,3,6,0,0,2,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,2,6,0,0,0,0,1,3,4,18,0,0,0,0,0,0,0
20240215_10-K_edgar_data_851205_0000851205-24-000027.txt,data/raw/2024/QTR1/20240215_10-K_edgar_data_851205_0000851205-24-000027.txt,2024,36079,2026-05-12T14:53:29.457817,8,0,0,4,0,0,0,5,0,0,0,6,1,0,1,4,0,0,0,5,0,0,0,1,0,0,0,7,2,2,1,2,0,1,0,10,8,0,0,0,12,1,4,1,11,0,0,0,0,0,0,0
20240215_10-K_edgar_data_85535_0001558370-24-001192.txt,data/raw/2024/QTR1/20240215_10-K_edgar_data_85535_0001558370-24-001192.txt,2024,56588,2026-05-12T14:53:29.483189,9,0,1,0,1,0,0,1,0,0,0,6,4,1,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,53,0,0,1,3,7,5,2,2,0,0,0,0,0,1,0
20240215_10-K_edgar_data_86312_0000086312-24-000012.txt,data/raw/2024/QTR1/20240215_10-K_edgar_data_86312_0000086312-24-000012.txt,2024,152405,2026-05-12T14:53:29.546453,10,27,1,0,1,0,0,1,1,0,1,67,55,4,5,3,81,6,0,0,1,3,0,0,2,0,0,6,3,0,1,0,2,4,0,5,20,0,0,3,7,25,28,8,6,7,5,0,0,0,0,0
20240215_10-K_edgar_data_875320_0000875320-24-000062.txt,data/raw/2024/QTR1/20240215_10-K_edgar_data_875320_0000875320-24-000062.txt,2024,73783,2026-05-12T14:53:29.582773,33,0,0,2,0,0,0,0,0,0,0,28,8,17,15,3,2,12,0,9,1,7,3,0,0,0,0,2,0,6,0,5,0,0,0,8,9,0,0,1,0,0,9,2,1,1,2,0,0,0,0,0
20240215_10-K_edgar_data_877212_0000877212-24-000029.txt,data/raw/2024/QTR1/20240215_10-K_edgar_data_877212_0000877212-24-000029.txt,2024,39088,2026-05-12T14:53:29.600500,11,2,0,2,0,0,0,0,0,0,0,19,2,2,3,0,0,0,0,4,7,4,0,0,0,0,0,21,1,8,14,2,3,4,0,6,12,0,1,1,0,20,8,3,16,0,0,0,10,0,2,0
20240215_10-K_edgar_data_887905_0001558370-24-001256.txt,data/raw/2024/QTR1/20240215_10-K_edgar_data_887905_0001558370-24-001256.txt,2024,44025,2026-05-12T14:53:29.620636,44,9,0,0,0,0,0,0,0,0,0,1,9,5,0,5,1,0,1,0,3,2,0,0,1,0,0,4,3,5,14,2,0,1,0,0,3,0,0,0,0,1,4,2,0,37,1,0,0,0,0,0
20240215_10-K_edgar_data_906107_0000950170-24-015907.txt,data/raw/2024/QTR1/20240215_10-K_edgar_data_906107_0000950170-24-015907.txt,2024,60813,2026-05-12T14:53:29.648743,58,2,1,1,17,0,0,0,0,0,0,10,10,0,0,3,0,0,0,0,6,8,0,0,0,0,0,27,5,0,6,0,2,1,0,0,11,0,0,0,0,4,74,4,0,27,0,0,0,2,0,0
20240215_10-K_edgar_data_910108_0001444838-24-000053.txt,data/raw/2024/QTR1/20240215_10-K_edgar_data_910108_0001444838-24-000053.txt,2024,51858,2026-05-12T14:53:29.672169,109,6,16,2,0,0,0,0,0,0,0,3,8,0,0,0,4,0,0,0,2,4,1,0,0,0,0,1,1,2,11,0,4,0,0,0,3,0,0,0,0,1,46,5,2,15,1,0,3,0,0,0
20240215_10-K_edgar_data_915913_0000915913-24-000016.txt,data/raw/2024/QTR1/20240215_10-K_edgar_data_915913_0000915913-24-000016.txt,2024,235867,2026-05-12T14:53:29.777382,56,0,1,1,6,0,0,7,0,0,0,12,27,4,4,3,11,2,0,0,8,7,0,0,0,0,0,17,24,1,3,6,8,1,0,5,21,1,1,3,2,32,27,16,21,41,1,0,0,1,1,1
20240229_10-K_edgar_data_1045450_0001045450-24-000027.txt,data/raw/2024/QTR1/20240229_10-K_edgar_data_1045450_0001045450-24-000027.txt,2024,73707,2026-05-12T14:54:41.077420,105,27,36,2,3,0,0,0,0,0,0,7,33,1,0,3,3,0,0,0,1,11,0,0,5,0,0,16,16,14,19,6,7,3,0,0,3,1,0,0,1,10,9,8,4,55,1,0,1,0,1,1
20240229_10-K_edgar_data_1050441_0001050441-24-000053.txt,data/raw/2024/QTR1/20240229_10-K_edgar_data_1050441_0001050441-24-000053.txt,2024,98816,2026-05-12T14:54:41.121432,15,82,1,3,2,0,1,0,0,0,0,14,17,1,0,0,7,7,9,0,2,9,1,0,1,0,0,13,36,3,2,1,3,1,0,0,8,0,0,0,0,7,103,17,5,1,5,0,0,0,1,9
20240229_10-K_edgar_data_1053706_0001053706-24-000006.txt,data/raw/2024/QTR1/20240229_10-K_edgar_data_1053706_0001053706-24-000006.txt,2024,34410,2026-05-12T14:54:41.137327,12,0,0,4,0,0,0,0,0,0,0,54,14,1,3,4,2,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,1,0,1,0,0,3,4,0,0,5,0,0,0,0,0
20240229_10-K_edgar_data_1060391_0001060391-24-000142.txt,data/raw/2024/QTR1/20240229_10-K_edgar_data_1060391_0001060391-24-000142.txt,2024,135460,2026-05-12T14:54:41.195479,21,2,0,0,20,0,0,0,0,0,0,9,36,1,0,3,11,10,8,14,0,10,0,0,0,0,0,20,7,20,16,1,1,1,0,1,9,0,0,0,0,14,38,198,23,2,0,0,0,1,0,0
20240229_10-K_edgar_data_1069157_0001069157-24-000020.txt,data/raw/2024/QTR1/20240229_10-K_edgar_data_1069157_0001069157-24-000020.txt,2024,61914,2026-05-12T14:54:41.225091,1,71,3,1,13,0,0,0,0,2,0,12,0,0,0,4,0,0,1,0,4,8,0,0,2,0,0,75,30,20,16,3,13,12,0,0,8,0,0,0,2,33,20,13,2,2,2,0,0,1,0,1
20240229_10-K_edgar_data_1070081_0001558370-24-002196.txt,data/raw/2024/QTR1/20240229_10-K_edgar_data_1070081_0001558370-24-002196.txt,2024,141471,2026-05-12T14:54:41.282827,13,1,170,2,0,0,0,0,0,0,0,36,11,32,25,9,1,3,1,8,10,5,0,0,0,0,0,6,0,0,0,0,1,2,0,30,13,0,0,0,0,0,23,23,6,2,2,1,1,0,0,1
20240229_10-K_edgar_data_1070423_0001070423-24-000008.txt,data/raw/2024/QTR1/20240229_10-K_edgar_data_1070423_0001070423-24-000008.txt,2024,86988,2026-05-12T14:54:41.318939,27,5,3,0,4,0,0,9,0,0,0,7,8,2,0,14,3,1,2,0,1,5,0,0,0,0,0,65,45,11,16,22,19,4,0,0,4,0,0,0,0,22,106,35,0,16,0,0,0,0,1,0
20240229_10-K_edgar_data_1071255_0001071255-24-000013.txt,data/raw/2024/QTR1/20240229_10-K_edgar_data_1071255_0001071255-24-000013.txt,2024,45353,2026-05-12T14:54:41.338006,42,4,2,2,1,0,1,0,0,0,0,11,10,10,0,3,5,0,1,2,0,0,0,0,1,0,0,4,1,1,5,0,2,0,0,0,5,0,0,0,0,6,7,6,1,5,2,0,0,0,0,0
20240229_10-K_edgar_data_1080014_0000950170-24-023237.txt,data/raw/2024/QTR1/20240229_10-K_edgar_data_1080014_0000950170-24-023237.txt,2024,81686,2026-05-12T14:54:41.372892,2,0,84,0,0,0,0,0,0,0,0,32,7,6,21,6,0,0,1,17,0,0,2,0,0,0,0,1,5,0,0,0,1,2,0,11,10,0,0,0,0,0,30,6,1,0,1,1,1,1,2,1
20240229_10-K_edgar_data_1083446_0001628280-24-008024.txt,data/raw/2024/QTR1/20240229_10-K_edgar_data_1083446_0001628280-24-008024.txt,2024,159212,2026-05-12T14:54:41.437155,27,68,21,2,3,0,0,0,0,0,1,23,26,5,0,10,4,6,3,7,5,3,1,1,0,0,0,1,1,0,6,0,0,1,0,1,17,0,0,0,1,19,118,94,16,3,3,0,0,4,3,0
20240229_10-K_edgar_data_1093691_0001558370-24-002178.txt,data/raw/2024/QTR1/20240229_10-K_edgar_data_1093691_0001558370-24-002178.txt,2024,91123,2026-05-12T14:54:41.477441,39,8,117,7,0,0,0,0,0,0,0,18,5,1,2,3,0,2,0,34,1,2,7,2,1,4,0,55,4,3,0,0,10,10,0,10,4,0,1,1,0,0,12,34,1,24,1,1,0,0,0,0
20240229_10-K_edgar_data_1094831_0001628280-24-007951.txt,data/raw/2024/QTR1/20240229_10-K_edgar_data_1094831_0001628280-24-007951.txt,2024,121484,2026-05-12T14:54:41.527637,25,21,10,4,0,0,0,3,0,0,0,22,19,3,5,5,4,6,1,0,2,0,0,0,0,0,0,45,71,1,35,2,32,22,0,5,11,0,0,6,20,0,52,66,3,11,9,0,0,2,2,0
20240229_10-K_edgar_data_1108426_0001108426-24-000008.txt,data/raw/2024/QTR1/20240229_10-K_edgar_data_1108426_0001108426-24-000008.txt,2024,90823,2026-05-12T14:54:41.567570,62,16,0,0,4,0,7,0,0,49,0,7,17,3,0,2,5,0,0,13,0,8,0,2,0,0,0,20,9,7,1,0,12,8,0,0,8,0,0,0,0,5,16,12,7,0,0,0,0,1,1,0
20240229_10-K_edgar_data_1109242_0000950170-24-022986.txt,data/raw/2024/QTR1/20240229_10-K_edgar_data_1109242_0000950170-24-022986.txt,2024,44851,2026-05-12T14:54:41.587655,15,55,1,3,10,0,1,0,0,0,0,6,0,1,0,2,0,0,1,7,0,4,1,0,0,0,0,20,17,4,0,4,4,4,0,0,2,0,0,0,0,2,7,6,0,0,4,0,0,0,0,1
20240229_10-K_edgar_data_1109354_0000950170-24-023038.txt,data/raw/2024/QTR1/20240229_10-K_edgar_data_1109354_0000950170-24-023038.txt,2024,108887,2026-05-12T14:54:41.633303,9,0,3,3,1,0,0,0,0,0,0,12,31,4,11,3,1,0,1,10,3,2,2,0,0,0,0,15,17,1,1,0,0,2,0,4,16,0,2,3,0,13,41,72,27,0,6,0,2,0,0,0
20240229_10-K_edgar_data_1117480_0001117480-24-000005.txt,data/raw/2024/QTR1/20240229_10-K_edgar_data_1117480_0001117480-24-000005.txt,2024,86635,2026-05-12T14:54:41.671893,7,6,8,2,2,0,0,0,0,0,0,26,20,18,11,6,1,0,1,26,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,11,4,0,0,0,0,10,14,11,3,1,1,1,0,0,1,0
20240229_10-K_edgar_data_1144980_0001144980-24-000076.txt,data/raw/2024/QTR1/20240229_10-K_edgar_data_1144980_0001144980-24-000076.txt,2024,62747,2026-05-12T14:54:41.700432,15,3,0,1,0,0,2,0,0,0,0,7,40,4,0,3,0,0,3,0,0,11,1,0,0,0,0,1,0,0,14,2,0,0,0,0,4,0,0,0,0,8,19,4,0,0,1,0,0,0,0,0
20240229_10-K_edgar_data_1158324_0001410578-24-000091.txt,data/raw/2024/QTR1/20240229_10-K_edgar_data_1158324_0001410578-24-000091.txt,2024,53411,2026-05-12T14:54:41.723399,41,5,0,2,0,0,0,0,0,0,0,8,8,0,1,1,2,0,0,7,1,1,1,2,0,0,0,3,0,0,0,0,0,24,0,5,7,0,0,0,0,2,8,8,4,0,0,0,0,0,0,0
20240229_10-K_edgar_data_1158895_0001437749-24-006037.txt,data/raw/2024/QTR1/20240229_10-K_edgar_data_1158895_0001437749-24-006037.txt,2024,44142,2026-05-12T14:54:41.742188,9,0,0,2,1,0,0,0,0,0,1,17,3,2,2,2,0,2,0,7,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,16,4,0,0,0,0,11,6,3,12,0,0,0,0,0,0,0
20240229_10-K_edgar_data_1164727_0001164727-24-000016.txt,data/raw/2024/QTR1/20240229_10-K_edgar_data_1164727_0001164727-24-000016.txt,2024,322570,2026-05-12T14:54:41.877567,94,6,4,0,8,0,0,4,0,0,3,14,19,3,0,2,3,2,2,2,0,18,3,0,0,0,0,53,12,16,9,4,10,3,0,4,65,4,2,5,1,17,27,20,14,16,2,0,0,0,2,0
20240315_10-K_edgar_data_1807893_0001079973-24-000379.txt,data/raw/2024/QTR1/20240315_10-K_edgar_data_1807893_0001079973-24-000379.txt,2024,34822,2026-05-12T14:55:49.824850,4,23,33,2,0,0,0,0,0,0,0,6,14,1,0,0,7,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,6,4,1,2,4,0,0,0,0,0
20240315_10-K_edgar_data_1810019_0001810019-24-000042.txt,data/raw/2024/QTR1/20240315_10-K_edgar_data_1810019_0001810019-24-000042.txt,2024,155593,2026-05-12T14:55:49.889569,32,44,7,2,3,0,0,1,0,0,0,37,50,1,9,5,12,4,3,5,5,6,5,3,1,0,0,12,8,5,17,1,0,4,0,5,13,0,0,0,2,23,59,70,41,6,2,0,0,0,4,1
20240315_10-K_edgar_data_1814974_0001437749-24-008085.txt,data/raw/2024/QTR1/20240315_10-K_edgar_data_1814974_0001437749-24-008085.txt,2024,149674,2026-05-12T14:55:49.956201,28,162,6,5,5,0,0,0,0,0,0,14,78,1,0,9,45,1,4,10,0,0,2,0,0,0,0,3,0,1,3,0,2,0,0,0,0,0,0,0,0,7,64,41,0,233,3,0,0,0,0,0
20240315_10-K_edgar_data_1816613_0000950170-24-032200.txt,data/raw/2024/QTR1/20240315_10-K_edgar_data_1816613_0000950170-24-032200.txt,2024,58868,2026-05-12T14:55:49.981623,2,0,4,2,0,0,0,0,0,0,0,32,3,3,10,9,0,0,1,13,1,0,3,0,0,0,0,16,0,0,1,0,3,1,0,3,20,0,0,0,0,1,11,5,1,0,0,0,1,0,0,0
20240315_10-K_edgar_data_1818654_0001888524-24-003517.txt,data/raw/2024/QTR1/20240315_10-K_edgar_data_1818654_0001888524-24-003517.txt,2024,106684,2026-05-12T14:55:50.034881,0,5,0,0,0,0,0,0,0,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,7,1,0,0,0,1,0,6,7,0,0,0,0,0,0,0,0
20240315_10-K_edgar_data_1819253_0000950170-24-032101.txt,data/raw/2024/QTR1/20240315_10-K_edgar_data_1819253_0000950170-24-032101.txt,2024,95599,2026-05-12T14:55:50.075384,3,0,14,2,0,0,0,0,0,0,0,75,20,11,7,8,3,3,0,1,2,1,0,0,0,0,0,4,1,0,0,0,1,1,0,2,11,0,0,0,0,0,21,24,1,1,2,0,0,0,0,0
20240315_10-K_edgar_data_1819974_0001819974-24-000008.txt,data/raw/2024/QTR1/20240315_10-K_edgar_data_1819974_0001819974-24-000008.txt,2024,54665,2026-05-12T14:55:50.098153,15,1,5,0,1,0,0,0,0,0,0,30,23,4,8,5,0,0,0,5,0,0,0,1,0,1,0,3,0,0,0,0,6,0,0,0,7,0,0,0,1,1,10,7,9,1,1,0,2,0,0,0
20240315_10-K_edgar_data_1822966_0001822966-24-000039.txt,data/raw/2024/QTR1/20240315_10-K_edgar_data_1822966_0001822966-24-000039.txt,2024,74331,2026-05-12T14:55:50.131129,8,4,14,2,0,0,0,0,0,0,0,16,3,37,3,17,0,2,0,2,1,7,0,0,0,0,0,2,1,0,0,0,0,1,0,6,7,0,0,0,0,0,10,5,0,0,1,0,0,0,0,0
20240315_10-K_edgar_data_1823466_0000950170-24-031826.txt,data/raw/2024/QTR1/20240315_10-K_edgar_data_1823466_0000950170-24-031826.txt,2024,66216,2026-05-12T14:55:50.159375,11,6,93,1,1,0,0,1,0,0,2,20,37,8,15,4,1,0,0,8,6,0,5,3,0,1,0,9,6,0,0,0,2,0,0,2,13,0,0,0,0,3,16,3,2,0,1,0,0,0,1,0
20240315_10-K_edgar_data_1823575_0000950170-24-032180.txt,data/raw/2024/QTR1/20240315_10-K_edgar_data_1823575_0000950170-24-032180.txt,2024,85120,2026-05-12T14:55:50.195968,18,0,143,3,0,1,0,0,0,0,0,37,11,6,15,8,2,0,0,15,2,1,1,2,0,1,0,8,1,0,0,0,0,0,0,2,12,0,0,0,0,2,23,7,2,1,5,0,0,1,0,0
20240315_10-K_edgar_data_1825248_0001825248-24-000007.txt,data/raw/2024/QTR1/20240315_10-K_edgar_data_1825248_0001825248-24-000007.txt,2024,258068,2026-05-12T14:55:50.309069,45,946,26,10,7,1,0,0,2,1,0,16,76,0,0,0,20,1,0,10,3,1,7,1,0,4,0,6,11,0,8,0,3,10,0,2,4,0,0,1,1,0,27,134,6,0,47,2,0,0,1,0
20240315_10-K_edgar_data_1828161_0000950170-24-032250.txt,data/raw/2024/QTR1/20240315_10-K_edgar_data_1828161_0000950170-24-032250.txt,2024,76378,2026-05-12T14:55:50.342037,7,4,4,1,0,0,0,0,0,0,0,15,14,5,4,3,8,4,5,5,3,0,3,0,0,1,0,7,0,1,2,0,2,0,0,2,5,0,0,0,0,1,10,15,2,0,1,0,2,2,0,0
20240315_10-K_edgar_data_1828811_0001628280-24-011518.txt,data/raw/2024/QTR1/20240315_10-K_edgar_data_1828811_0001628280-24-011518.txt,2024,212651,2026-05-12T14:55:50.429012,27,14,432,6,4,0,0,0,0,0,0,31,81,0,5,1,31,22,1,0,0,0,1,1,0,0,0,14,8,0,0,2,2,3,0,2,9,0,0,1,1,0,41,178,3,11,3,0,0,0,2,0
20240315_10-K_edgar_data_1828937_0001828937-24-000024.txt,data/raw/2024/QTR1/20240315_10-K_edgar_data_1828937_0001828937-24-000024.txt,2024,86818,2026-05-12T14:55:50.467110,6,31,0,8,1,0,0,0,30,35,0,21,57,24,0,7,7,0,2,3,20,1,0,1,0,0,0,12,5,8,5,1,15,6,0,1,14,0,0,0,0,26,17,14,3,0,1,0,0,1,4,1
20240315_10-K_edgar_data_1830188_0001830188-24-000010.txt,data/raw/2024/QTR1/20240315_10-K_edgar_data_1830188_0001830188-24-000010.txt,2024,76282,2026-05-12T14:55:50.499232,20,1,51,4,1,0,0,0,0,0,0,15,33,4,0,5,6,3,5,0,0,1,0,0,0,0,1,58,3,0,0,0,0,0,0,0,9,0,0,0,0,4,19,102,1,7,3,0,0,0,2,0
20240315_10-K_edgar_data_1830210_0001830210-24-000025.txt,data/raw/2024/QTR1/20240315_10-K_edgar_data_1830210_0001830210-24-000025.txt,2024,93278,2026-05-12T14:55:50.538964,12,6,77,0,4,0,0,2,0,0,0,23,32,51,0,10,15,1,2,11,1,5,2,0,0,3,2,20,12,1,1,2,4,1,0,2,7,0,0,0,0,2,5,22,6,1,2,0,0,1,0,0
20240315_10-K_edgar_data_1831631_0001831631-24-000063.txt,data/raw/2024/QTR1/20240315_10-K_edgar_data_1831631_0001831631-24-000063.txt,2024,62681,2026-05-12T14:55:50.565425,10,15,4,2,0,0,0,0,7,3,0,35,27,19,3,22,0,1,1,0,0,0,1,2,2,0,0,55,11,2,1,1,19,6,0,2,12,0,0,0,0,1,12,13,6,25,0,1,0,0,0,0
20240315_10-K_edgar_data_1832873_0001888524-24-003543.txt,data/raw/2024/QTR1/20240315_10-K_edgar_data_1832873_0001888524-24-003543.txt,2024,145460,2026-05-12T14:55:50.635907,0,11,0,0,0,3,0,0,0,28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,8,0,0,0,0,1,0,11,7,0,0,0,0,0,0,0,0
20240315_10-K_edgar_data_1836981_0001628280-24-011538.txt,data/raw/2024/QTR1/20240315_10-K_edgar_data_1836981_0001628280-24-011538.txt,2024,77148,2026-05-12T14:55:50.670100,4,3,152,3,0,0,0,0,0,0,0,46,31,4,9,5,5,0,0,7,0,1,1,0,0,0,0,14,18,0,0,0,1,2,0,1,23,0,0,0,0,18,27,10,20,11,2,0,0,0,5,0
20240315_10-K_edgar_data_1840121_0001888524-24-003511.txt,data/raw/2024/QTR1/20240315_10-K_edgar_data_1840121_0001888524-24-003511.txt,2024,148005,2026-05-12T14:55:50.743401,0,9,0,0,0,2,0,0,1,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,8,0,0,0,0,1,0,9,7,0,0,0,0,0,0,0,0
20240221_10-K_edgar_data_1472787_0000950170-24-017418.txt,data/raw/2024/QTR1/20240221_10-K_edgar_data_1472787_0000950170-24-017418.txt,2024,70290,2026-05-12T14:53:44.587404,6,4,0,2,0,0,0,0,0,0,0,7,33,3,3,4,9,6,0,1,0,3,1,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,4,8,59,1,0,0,0,0,0,0,0
20240221_10-K_edgar_data_1474098_0001474098-24-000040.txt,data/raw/2024/QTR1/20240221_10-K_edgar_data_1474098_0001474098-24-000040.txt,2024,68253,2026-05-12T14:53:44.615395,24,2,46,6,7,0,2,0,0,0,0,15,23,0,0,0,1,0,1,0,0,7,0,1,0,0,0,13,3,4,2,0,1,0,0,1,5,0,0,0,0,5,11,8,0,8,4,0,1,0,0,0
20240221_10-K_edgar_data_1474735_0001437749-24-005040.txt,data/raw/2024/QTR1/20240221_10-K_edgar_data_1474735_0001437749-24-005040.txt,2024,65585,2026-05-12T14:53:44.642004,24,6,0,2,1,0,0,0,0,0,0,20,24,4,4,8,17,11,0,5,10,0,2,0,0,1,0,13,4,2,18,3,1,0,0,1,5,0,0,0,0,2,5,26,4,0,2,0,0,1,0,0
20240221_10-K_edgar_data_1477333_0001477333-24-000013.txt,data/raw/2024/QTR1/20240221_10-K_edgar_data_1477333_0001477333-24-000013.txt,2024,121216,2026-05-12T14:53:44.691109,10,1,43,2,0,0,0,0,0,0,0,45,3,2,10,10,0,0,0,20,0,1,0,0,0,0,0,2,5,1,0,0,8,4,0,14,12,5,0,4,0,2,31,5,3,3,2,0,0,1,0,0
20240221_10-K_edgar_data_1481582_0000950170-24-018005.txt,data/raw/2024/QTR1/20240221_10-K_edgar_data_1481582_0000950170-24-018005.txt,2024,52030,2026-05-12T14:53:44.712594,24,14,1,2,1,0,0,0,0,0,0,10,11,1,0,3,0,1,0,5,3,3,0,0,1,0,1,16,12,6,11,0,2,0,0,1,6,2,2,3,0,1,5,11,1,5,2,0,0,0,1,0
20240221_10-K_edgar_data_1484612_0000950170-24-018093.txt,data/raw/2024/QTR1/20240221_10-K_edgar_data_1484612_0000950170-24-018093.txt,2024,97789,2026-05-12T14:53:44.751100,6,20,2,2,0,0,0,0,0,0,0,36,12,4,5,9,2,11,1,12,0,1,4,1,0,0,0,2,0,0,0,0,0,0,0,5,12,0,0,0,0,2,20,3,6,5,2,0,0,1,1,0
20240221_10-K_edgar_data_1515673_0000950170-24-017879.txt,data/raw/2024/QTR1/20240221_10-K_edgar_data_1515673_0000950170-24-017879.txt,2024,92253,2026-05-12T14:53:44.789665,10,0,3,3,0,0,0,0,0,0,0,26,4,20,16,11,0,5,5,22,6,0,0,0,0,0,0,1,0,0,0,0,0,1,0,20,16,0,1,0,0,0,11,21,1,1,1,0,1,1,0,0
